ANMOIS;CIE;CIE_NOM;;CIE_PAYS;CIE_PAX;CIE_FRP;CIE_PEQ
202404;ABR;ASL AIRLINES IRELAND;;IRLANDE;0;1009;10090
202404;ACA;AIR CANADA;;CANADA;66775;1812,2;84897
202404;ACI;AIRCALIN;;FRANCE (OM);31535;239,1;33926
202404;AEA;AIR EUROPA;;ESPAGNE;34779;276,9;37548
202404;AEE;AEGEAN AIRLINES;;GRECE;51949;80,1;52750
202404;AFR;AIR FRANCE;;FRANCE;3390913;37160,8;3762521
202404;AIC;AIR INDIA;;INDE;13929;439,3;18322
202404;AMX;AEROMEXICO;;MEXIQUE;19708;637,7;26085
202404;ANE;AIR NOSTRUM;;ESPAGNE;74748;0;74748
202404;ASL;AIR SERBIA;;SERBIE;19183;16,5;19348
202404;AUA;AUSTRIAN AIRLINES;;AUTRICHE;70249;34,8;70597
202404;AZU;AZUL;;BRESIL;12884;285,6;15740
202404;BAW;BRITISH AIRWAYS;;ROYAUME-UNI;207858;118,3;209041
202404;BCS;EAT/EUROPEAN AIR TRANSP;;ALLEMAGNE;0;11163,7;111637
202404;BEL;BRUSSELS AIRLINES;;BELGIQUE;61318;4,8;61366
202404;BGA;AIRBUS TRANSPORT INTL;;FRANCE;0;2985,9;29859
202404;BTI;AIR BALTIC;;LETTONIE;23092;56,5;23657
202404;CCA;AIR CHINA INTL;;CHINE;33147;5083,8;83985
202404;CCM;AIR CORSICA;;FRANCE;183479;123,4;184713
202404;CES;CHINA EASTERN AIRLINES;;CHINE;27866;2197,3;49839
202404;CMA;CMA CGM AIR CARGO;;FRANCE;0;4906,4;49064
202404;CPA;CATHAY PACIFIC;;HONG KONG (CHINE);14314;1781,1;32125
202404;CRL;CORSAIR;;FRANCE;116477;2522;141697
202404;CSA;CSA CZECH AIRLINES;;TCHEQUIE;14546;17,3;14719
202404;CSN;CHINA SOUTHERN AIRLINES;;CHINE;11708;593,7;17645
202404;CTN;CROATIA AIRLINES;;CROATIE;12849;22;13069
202404;DAH;AIR ALGERIE;;ALGERIE;265457;839,4;273851
202404;DAL;DELTA AIR LINES;;ETATS-UNIS;186112;2470,7;210819
202404;DLH;LUFTHANSA;;ALLEMAGNE;307395;679,9;314194
202404;EFW;BA EUROFLYER;;ROYAUME-UNI;15513;0;15513
202404;EIN;AER LINGUS;;IRLANDE;71238;54,5;71783
202404;EJU;EASYJET EUROPE;;AUTRICHE;1501738;0,1;1501739
202404;ELY;EL AL;;ISRAEL;50655;693;57585
202404;ENT;ENTER AIR;;POLOGNE;22395;0;22395
